Company_name,Rating,Reviews,Industry_and_Location
DMart,3.9,(5.9k),Retail | Mumbai +246 other locations
Indiamart Intermesh,3.5,(5.8k),Internet | Noida +173 other locations
HSBC Group,3.9,(5.8k),Financial Services | Bangalore / Bengaluru +63 other locations
SMFG India Credit,3.9,(5.8k),NBFC | Mumbai +596 other locations
Aurobindo Pharma,4.0,(5.7k),Pharma | Hyderabad / Secunderabad +116 other locations
Udaan,3.9,(5.7k),Internet | Bangalore / Bengaluru +367 other locations
Access Healthcare,3.7,(5.7k),BPO | Chennai +64 other locations
Siemens,3.9,(5.7k),Industrial Automation | Bangalore / Bengaluru +153 other locations
BigBasket,3.9,(5.7k),Internet | Bangalore / Bengaluru +140 other locations
PolicyBazaar,3.7,(5.7k),Internet | Gurgaon / Gurugram +149 other locations
Manappuram Finance,3.9,(5.6k),NBFC | Bangalore / Bengaluru +652 other locations
ICICI Lombard General Insurance Company,3.5,(5.6k),Insurance | Mumbai +313 other locations
Tata Capital,4.0,(5.6k),NBFC | Mumbai +440 other locations
Firstsource Solutions,3.5,(5.6k),BPO | Bangalore / Bengaluru +74 other locations
GlobalLogic,3.5,(5.6k),IT Services & Consulting | Hyderabad / Secunderabad +60 other locations
Shapoorji Pallonji Group,4.1,(5.6k),Engineering & Construction | Mumbai +190 other locations
Standard Chartered,3.6,(5.6k),Banking | Chennai +67 other locations
Mahindra Finance,3.8,(5.5k),NBFC | Mumbai +731 other locations
Apollo Hospitals,4.1,(5.5k),Healthcare | Chennai +228 other locations
Bosch Global Software Technologies,3.7,(5.5k),IT Services & Consulting | Bangalore / Bengaluru +47 other locations
UST,3.7,(5.5k),IT Services & Consulting | Bangalore / Bengaluru +51 other locations
Ashok Leyland,4.0,(5.5k),Automobile | Chennai +260 other locations
Swiggy,3.7,(5.4k),Internet | Bangalore / Bengaluru +229 other locations
Citicorp,3.7,(5.4k),Financial Services | Pune +68 other locations
Hero MotoCorp,4.1,(5.3k),Automobile | Gurgaon / Gurugram +365 other locations
CGI Group,4.0,(5.3k),IT Services & Consulting | Bangalore / Bengaluru +43 other locations
Cyient,3.6,(5.2k),IT Services & Consulting | Hyderabad / Secunderabad +48 other locations
SBI Cards & Payment Services,3.6,(5.2k),Financial Services | Gurgaon / Gurugram +438 other locations
Kalpataru Projects International,4.2,(5.1k),Engineering & Construction | Mumbai +320 other locations
BNY,3.6,(5.1k),Financial Services | Pune +25 other locations
JustDial,3.5,(5.1k),Internet | Noida +229 other locations
IQVIA,3.7,(5.1k),Clinical Research | Bangalore / Bengaluru +65 other locations
NTT DATA,3.8,(5k),IT Services & Consulting | Bangalore / Bengaluru +80 other locations
Nagarjuna Construction Company,4.0,(5k),Engineering & Construction | Hyderabad / Secunderabad +296 other locations
SBI Life Insurance Company,3.7,(5k),Insurance | Mumbai +655 other locations
CBRE,4.1,(5k),Real Estate | Hyderabad / Secunderabad +91 other locations
TVS Motor,3.9,(5k),Automobile | Hosur +351 other locations
Schneider Electric,4.2,(5k),Industrial Automation | Bangalore / Bengaluru +119 other locations
Persistent Systems,3.6,(4.9k),IT Services & Consulting | Pune +41 other locations
State Bank of India,3.8,(4.9k),Banking | Mumbai +618 other locations
vivo,4.1,(4.9k),Consumer Electronics & Appliances | Noida +414 other locations
Atos,3.8,(4.9k),IT Services & Consulting | Pune +49 other locations
